"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"out/22";"set/22";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"Competência";"Data de atualização"
"UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO (331341)";"Médico Hospitalar";"Médio";"111";"141";"   1,66";"   1,19";"   0,71";"   0,95";"   0,71";"   1,43";"    1,67";"    2,38";"   2,62";"   2,85";"   2,37";"   2,13";"202210";"15/11/2022 05:40:45"
"UNIMED DE BIRIGUI - COOPERATIVA DE TRABALHO MÉDICO (345776)";"Médico Hospitalar";"Pequeno";"152";"139";"   1,00";"   1,50";"   1,50";"   1,01";"   1,01";"   1,01";"    0,50";"0,00";"   0,50";"   0,50";"   1,01";"   1,01";"202210";"15/11/2022 05:40:45"
"UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO (304883)";"Médico Hospitalar";"Médio";"203";"200";"   0,24";"   0,24";"   0,24";"   0,25";"   0,49";"   0,49";"    0,74";"    0,50";"   0,50";"   0,75";"   1,04";"   1,53";"202210";"15/11/2022 05:40:45"
"UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO (348244)";"Médico Hospitalar";"Pequeno";"78";"94";"   3,79";"   3,81";"   1,10";"   1,65";"   2,78";"   3,35";"    3,93";"    3,93";"   2,81";"   1,13";"   1,13";"   1,71";"202210";"15/11/2022 05:40:45"
"UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO (334154)";"Médico Hospitalar";"Pequeno";"177";"181";"0,00";"   0,76";"   0,76";"   1,52";"   0,75";"   0,73";"    0,73";"    0,73";"   0,73";"0,00";"   1,44";"   2,16";"202210";"15/11/2022 05:40:45"
"UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO (352683)";"Médico Hospitalar";"Médio";"23";"26";"  11,07";"  10,84";"   7,30";"   7,72";"   7,10";"   9,82";"    9,19";"    8,14";"   5,64";"   7,09";"  10,43";"  11,03";"202210";"15/11/2022 05:40:45"
"UNIMED DE CAPIVARI -COOPERATIVA DE TRABALHO MÉDICO (366340)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"   0,82";"   2,47";"    2,49";"    1,66";"0,00";"   1,69";"   1,71";"   1,73";"202210";"15/11/2022 05:40:45"
"UNIMED DE CASCAVEL COOPERATIVA DE TRABALHO MÉDICO (370070)";"Médico Hospitalar";"Médio";"149";"152";"   0,95";"   0,95";"   0,74";"   1,06";"   0,96";"   1,07";"    0,86";"    0,86";"   0,75";"   0,97";"   1,41";"   1,74";"202210";"15/11/2022 05:40:45"
"UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO (324566)";"Médico Hospitalar";"Pequeno";"112";"134";"   2,16";"   1,60";"   2,12";"   1,08";"   2,19";"   3,35";"    2,79";"    1,68";"0,00";"   0,56";"   0,55";"   1,10";"202210";"15/11/2022 05:40:45"
"UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO (351407)";"Médico Hospitalar";"Médio";"196";"169";"   0,28";"   0,56";"   0,85";"   0,57";"   0,29";"0,00";"0,00";"    0,29";"   0,28";"   0,57";"   0,56";"   0,84";"202210";"15/11/2022 05:40:45"
"UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO  (354627)";"Médico Hospitalar";"Pequeno";"86";"130";"   3,32";"   1,67";"   2,51";"   1,68";"   1,69";"   2,54";"    1,69";"    3,38";"   2,52";"   3,36";"   1,68";"   1,67";"202210";"15/11/2022 05:40:45"
"UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MÉDICO (344788)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,54";"   2,62";"   5,49";"202210";"15/11/2022 05:40:45"
"UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA (329339)";"Médico Hospitalar";"Médio";"124";"97";"   1,37";"   2,12";"   2,00";"   1,88";"   1,25";"   0,88";"    0,63";"    1,00";"   1,38";"   1,26";"   1,27";"   0,89";"202210";"15/11/2022 05:40:45"
"UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA (333662)";"Médico Hospitalar";"Médio";"91";"114";"   2,08";"   1,74";"   2,10";"   2,45";"   2,81";"   2,81";"    2,45";"    2,10";"   1,75";"   2,79";"   2,09";"   2,08";"202210";"15/11/2022 05:40:45"
"UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO (314781)";"Médico Hospitalar";"Pequeno";"138";"153";"   1,29";"   1,30";"0,00";"0,00";"   1,28";"   1,26";"    1,26";"0,00";"0,00";"   5,27";"   5,38";"   5,40";"202210";"15/11/2022 05:40:45"
"UNIMED DE FERNANDOPOLIS - COOPERATIVA DE TRABALHO MÉDICO (326089)";"Médico Hospitalar";"Pequeno";"177";"146";"0,00";"   1,36";"   2,73";"   2,75";"   1,39";"   1,41";"    1,41";"    1,42";"0,00";"0,00";"0,00";"   1,44";"202210";"15/11/2022 05:40:45"
"UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA. (317144)";"Médico Hospitalar";"Grande";"33";"30";"   6,36";"   7,62";"   7,83";"   8,69";"   9,57";"  10,60";"   11,29";"   12,60";"  13,73";"  14,42";"  13,83";"  13,95";"202210";"15/11/2022 05:40:45"
"UNIMED DE GUARATINGUETA-COOPERATIVA DE TRABALHO MÉDICO (355577)";"Médico Hospitalar";"Pequeno";"92";"106";"   3,09";"   3,10";"   3,09";"   1,55";"   1,56";"   0,78";"    1,56";"    2,34";"   2,35";"   3,15";"   3,17";"   3,19";"202210";"15/11/2022 05:40:45"
"UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO (333051)";"Médico Hospitalar";"Médio";"50";"50";"   6,17";"   6,18";"   6,09";"   7,31";"   6,79";"   6,04";"    5,37";"    6,55";"   6,09";"   5,02";"   4,15";"   6,17";"202210";"15/11/2022 05:40:45"
"UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO (365238)";"Médico Hospitalar";"Pequeno";"165";"180";"   0,74";"   0,76";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO (329886)";"Médico Hospitalar";"Médio";"122";"113";"   1,40";"   1,75";"   1,40";"   0,70";"   0,70";"   2,13";"    2,49";"    2,88";"   1,80";"   1,08";"   0,36";"0,00";"202210";"15/11/2022 05:40:45"
"UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA. (334847)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO (321273)";"Médico Hospitalar";"Grande";"68";"74";"   2,32";"   2,04";"   1,85";"   1,36";"   1,66";"   1,86";"    1,87";"    1,58";"   0,79";"   1,11";"   1,55";"   1,89";"202210";"15/11/2022 05:40:45"
"UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO (325031)";"Médico Hospitalar";"Médio";"211";"204";"0,00";"0,00";"   1,01";"   1,02";"   1,03";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,50";"   0,48";"202210";"15/11/2022 05:40:45"
"UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO (301574)";"Médico Hospitalar";"Médio";"142";"132";"   1,15";"   1,35";"   1,16";"   0,78";"   1,38";"   1,80";"    2,86";"    1,87";"   1,05";"   0,85";"   1,28";"   1,29";"202210";"15/11/2022 05:40:45"
"UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS (354279)";"Médico Hospitalar";"Pequeno";"119";"112";"   1,93";"   2,59";"   0,65";"   1,30";"   0,65";"   1,95";"    1,95";"    1,96";"   0,65";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MÉDICO (343269)";"Médico Hospitalar";"Grande";"80";"86";"   1,20";"   1,00";"   1,06";"   1,36";"   2,08";"   2,39";"    1,89";"    1,44";"   1,19";"   1,41";"   1,73";"   1,84";"202210";"15/11/2022 05:40:45"
"UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO (385620)";"Médico Hospitalar";"Pequeno";"129";"88";"   1,44";"   4,30";"   2,84";"   2,83";"0,00";"   1,40";"    1,39";"    1,39";"0,00";"   1,40";"   1,41";"   1,42";"202210";"15/11/2022 05:40:45"
"UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE (302953)";"Médico Hospitalar";"Médio";"66";"64";"   4,00";"   4,13";"   3,84";"   3,56";"   3,41";"   3,87";"    3,57";"    5,07";"   4,04";"   4,82";"   4,40";"   5,65";"202210";"15/11/2022 05:40:45"
"UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA (311961)";"Médico Hospitalar";"Pequeno";"55";"53";"   7,27";"   9,77";"   8,66";"   7,60";"   8,60";"  12,12";"   12,08";"    8,54";"   8,46";"   8,92";"  15,23";"  17,16";"202210";"15/11/2022 05:40:45"
"UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO (336106)";"Médico Hospitalar";"Médio";"164";"168";"   0,58";"   0,58";"   0,82";"   1,06";"   1,42";"   2,15";"    2,28";"    2,17";"   1,33";"   1,34";"   1,22";"   1,35";"202210";"15/11/2022 05:40:45"
"UNIMED DE MINEIROS COOPERATIVA DE TRABALHO MÉDICO  (357715)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    2,66";"   4,01";"   4,03";"   1,36";"0,00";"202210";"15/11/2022 05:40:45"
"UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO (328308)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"   0,74";"   1,48";"   2,22";"    2,22";"    1,49";"   1,48";"   2,22";"   3,70";"   2,96";"202210";"15/11/2022 05:40:45"
"UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO (309524)";"Médico Hospitalar";"Pequeno";"127";"140";"   1,49";"   1,50";"   1,51";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO (311294)";"Médico Hospitalar";"Médio";"161";"163";"   0,67";"   0,67";"   1,67";"   2,01";"   2,02";"   1,34";"    2,01";"    1,99";"   1,32";"   0,33";"   1,33";"   2,01";"202210";"15/11/2022 05:40:45"
"UNIMED DE PARANAGUÁ COOPERATIVA DE TRABALHO MÉDICO (361615)";"Médico Hospitalar";"Médio";"136";"101";"   1,24";"   1,90";"   1,40";"   1,63";"   1,64";"   1,97";"    1,98";"    1,66";"   1,67";"   1,34";"   1,34";"   1,00";"202210";"15/11/2022 05:40:45"
"UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO (320862)";"Médico Hospitalar";"Médio";"186";"186";"   0,41";"   0,41";"0,00";"0,00";"   0,41";"   1,25";"    1,25";"    2,51";"   2,52";"   3,36";"   3,37";"   3,40";"202210";"15/11/2022 05:40:45"
"UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO (323004)";"Médico Hospitalar";"Pequeno";"177";"125";"0,00";"   1,99";"   1,99";"   3,98";"   2,00";"   4,01";"    2,01";"    4,03";"   2,02";"   2,03";"0,00";"   2,05";"202210";"15/11/2022 05:40:45"
"UNIMED DE PINDAMONHANGABA - COOPERATIVA TRABALHO MEDICO (342343)";"Médico Hospitalar";"Pequeno";"91";"74";"   3,12";"   5,25";"   5,25";"   5,29";"   2,13";"   1,07";"0,00";"    1,07";"   1,07";"   1,08";"   1,08";"   2,18";"202210";"15/11/2022 05:40:45"
"UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS (315729)";"Médico Hospitalar";"Grande";"45";"49";"   4,35";"   4,43";"   3,19";"   2,94";"   2,55";"   2,49";"    2,30";"    2,50";"   2,56";"   3,45";"   4,14";"   4,01";"202210";"15/11/2022 05:40:45"
"UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO (314242)";"Médico Hospitalar";"Pequeno";"153";"169";"   0,96";"   0,97";"0,00";"0,00";"0,00";"0,00";"0,00";"    1,18";"   2,38";"   2,39";"   2,39";"   1,19";"202210";"15/11/2022 05:40:45"
"UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO (315796)";"Médico Hospitalar";"Grande";"86";"87";"   0,79";"   0,89";"   0,79";"   0,89";"   1,19";"   1,10";"    0,70";"    0,60";"   0,50";"   0,60";"   0,60";"   0,71";"202210";"15/11/2022 05:40:45"
"UNIMED DE REGISTRO COOPERATIVA DE TRABALHO MÉDICO (351776)";"Médico Hospitalar";"Pequeno";"49";"61";"   9,14";"   7,60";"   4,57";"   3,04";"   1,52";"0,00";"    1,52";"    4,53";"   5,99";"   4,46";"   2,96";"   1,49";"202210";"15/11/2022 05:40:45"
"UNIMED DE RIBEIRAO PRETO - COOPERATIVA DE TRABALHO MÉDICO (351202)";"Médico Hospitalar";"Grande";"56";"61";"   3,14";"   3,48";"   2,66";"   2,15";"   2,62";"   2,77";"    2,70";"    2,58";"   2,46";"   2,34";"   2,42";"   2,51";"202210";"15/11/2022 05:40:45"
"UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO (306126)";"Médico Hospitalar";"Médio";"211";"199";"0,00";"   0,26";"   0,78";"   0,78";"   0,52";"   0,26";"    0,26";"    0,77";"   0,51";"   0,51";"   0,26";"   0,77";"202210";"15/11/2022 05:40:45"
"UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO (369292)";"Médico Hospitalar";"Médio";"140";"148";"   1,17";"   1,06";"   1,17";"   1,50";"   1,29";"   1,51";"    1,19";"    1,51";"   1,20";"   1,32";"   1,45";"   2,72";"202210";"15/11/2022 05:40:45"
"UNIMED DE SANTOS COOP DE TRAB MEDICO (355721)";"Médico Hospitalar";"Grande";"55";"50";"   3,15";"   4,34";"   4,17";"   4,18";"   3,55";"   4,25";"    4,13";"    4,88";"   4,09";"   3,80";"   4,00";"   4,55";"202210";"15/11/2022 05:40:45"
"UNIMED DE SAO JOSÉ DO RIO PARDO-COOP. DE TRAB. MÉDICO (354619)";"Médico Hospitalar";"Pequeno";"177";"171";"0,00";"   0,96";"   0,96";"   0,96";"0,00";"   0,97";"    0,98";"    0,98";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO (318388)";"Médico Hospitalar";"Médio";"129";"133";"   1,34";"   1,34";"   1,34";"   1,35";"   1,01";"   1,69";"    1,35";"    1,68";"   0,34";"   0,33";"   0,67";"   0,67";"202210";"15/11/2022 05:40:45"
"UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA (303178)";"Médico Hospitalar";"Pequeno";"121";"75";"   1,84";"   4,89";"   4,88";"   5,48";"   3,65";"   4,27";"    3,06";"    1,84";"   4,31";"   4,31";"   3,69";"   0,61";"202210";"15/11/2022 05:40:45"
"UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO (361941)";"Médico Hospitalar";"Pequeno";"150";"165";"   1,05";"   1,05";"   1,05";"   0,53";"   1,06";"   1,59";"    2,13";"    3,21";"   2,69";"   3,77";"   2,16";"   2,15";"202210";"15/11/2022 05:40:45"
"UNIMED DE TAUBATÉ COOPERATIVA DE TRABALHO MÉDICO (363286)";"Médico Hospitalar";"Pequeno";"63";"69";"   5,66";"   6,43";"   3,20";"   6,38";"   6,37";"   7,96";"    4,76";"    3,97";"   5,56";"   6,35";"   7,15";"   6,36";"202210";"15/11/2022 05:40:45"
"UNIMED DE TRES LAGOAS COOPERATIVA DE TRABALHO MÉDICO (342386)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    1,52";"   6,07";"   9,13";"   7,60";"   3,03";"202210";"15/11/2022 05:40:45"
"UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL (364860)";"Médico Hospitalar";"Médio";"114";"131";"   1,57";"   1,35";"   1,13";"   0,91";"   0,92";"   0,69";"    0,46";"    0,93";"   1,18";"   1,19";"   1,43";"   1,90";"202210";"15/11/2022 05:40:45"
"UNIMED DE TUPA COOPERATIVA DE TRABALHO MÉDICO (365530)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"   0,97";"   0,97";"   0,97";"    0,97";"    0,97";"   0,97";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"UNIMED DE UBA COOPERATIVA DE TRABALHO MEDICO (362573)";"Médico Hospitalar";"Pequeno";"151";"167";"   1,02";"   1,02";"   2,05";"   3,08";"   2,06";"   1,04";"0,00";"    1,04";"   2,06";"   3,10";"   2,06";"   2,05";"202210";"15/11/2022 05:40:45"
"UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO (364584)";"Médico Hospitalar";"Médio";"48";"45";"   6,30";"   7,16";"   7,03";"   5,59";"   6,20";"   8,73";"    7,69";"    7,85";"   5,04";"   6,09";"   6,23";"   7,73";"202210";"15/11/2022 05:40:45"
"UNIMED DE VOTUPORANGA - COOPERATIVA DE TRABALHO MÉDICO (328073)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,01";"   1,01";"   2,03";"202210";"15/11/2022 05:40:45"
"UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA (319121)";"Médico Hospitalar";"Grande";"84";"83";"   0,89";"   1,27";"   1,17";"   1,28";"   0,96";"   1,24";"    1,09";"    1,38";"   0,83";"   1,10";"   0,94";"   1,27";"202210";"15/11/2022 05:40:45"
"UNIMED DO CARIRI - SOCIEDADE COOPERATIVA MÉDICA LTDA (356123)";"Médico Hospitalar";"Médio";"40";"34";"   7,59";"   9,62";"  10,49";"   7,01";"   5,87";"   4,43";"    5,95";"    5,98";"   7,79";"   6,89";"   8,07";"   6,87";"202210";"15/11/2022 05:40:45"
"UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA. (321958)";"Médico Hospitalar";"Médio";"64";"55";"   4,20";"   5,42";"   5,41";"   5,37";"   5,73";"   6,37";"    6,11";"    6,28";"   6,32";"   5,95";"   6,24";"   7,60";"202210";"15/11/2022 05:40:45"
"UNIMED DO ESTADO DE SANTA CATARINA FED. EST. DAS COOP. MÉD. (355691)";"Médico Hospitalar";"Grande";"73";"76";"   1,83";"   1,89";"   1,71";"   1,91";"   2,11";"   2,18";"    2,13";"    2,00";"   1,88";"   1,62";"   1,17";"   1,10";"202210";"15/11/2022 05:40:45"
"UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS (319996)";"Médico Hospitalar";"Grande";"46";"47";"   4,23";"   4,69";"   4,06";"   4,67";"   4,58";"   5,48";"    5,20";"    5,52";"   5,06";"   4,83";"   5,16";"   5,01";"202210";"15/11/2022 05:40:45"
"UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS (312720)";"Médico Hospitalar";"Grande";"62";"69";"   2,64";"   2,55";"   2,91";"   2,96";"   3,03";"   3,43";"    3,10";"    3,70";"   3,43";"   4,10";"   3,44";"   3,85";"202210";"15/11/2022 05:40:45"
"UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO (325082)";"Médico Hospitalar";"Pequeno";"66";"73";"   5,44";"   5,42";"   7,21";"   5,37";"   5,33";"   5,30";"    5,30";"    8,82";"   7,04";"   3,52";"   3,51";"   3,50";"202210";"15/11/2022 05:40:45"
"UNIMED DO OESTE DO PARANÁ - COOP. DE TRABALHO MEDICO (305227)";"Médico Hospitalar";"Médio";"139";"162";"   1,18";"   0,79";"   0,80";"   1,21";"   0,81";"   0,82";"0,00";"0,00";"0,00";"   0,42";"   0,43";"   0,86";"202210";"15/11/2022 05:40:45"
"UNIMED DO SUDOESTE COOPERATIVA DE TRABALHO MEDICO LTDA (350371)";"Médico Hospitalar";"Médio";"32";"30";"   9,06";"  10,03";"   7,75";"   7,61";"   7,47";"   8,77";"    9,05";"   10,82";"  11,67";"  11,04";"   8,65";"   6,96";"202210";"15/11/2022 05:40:45"
"UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA. (311715)";"Médico Hospitalar";"Médio";"128";"146";"   1,34";"   1,08";"   0,82";"   0,28";"   0,28";"   0,28";"    0,28";"    0,56";"   0,28";"   0,57";"   0,57";"   0,58";"202210";"15/11/2022 05:40:45"
"UNIMED ERECHIM - COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA. (357022)";"Médico Hospitalar";"Médio";"181";"183";"   0,41";"   0,42";"   0,42";"0,00";"   0,42";"   0,43";"    0,43";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO (340251)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    0,82";"   0,82";"   0,83";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO (346209)";"Médico Hospitalar";"Médio";"105";"135";"   1,78";"   1,33";"   0,89";"   0,45";"   0,45";"   0,90";"    0,90";"    0,90";"   1,36";"   1,36";"   1,81";"   0,90";"202210";"15/11/2022 05:40:45"
"UNIMED FEDERAÇAO DO ESTADO DO MATO GROSSO (328031)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"202210";"15/11/2022 05:40:45"
"UNIMED FOZ DO IGUACU COOPERATIVA TRABALHO MEDICO (351792)";"Médico Hospitalar";"Médio";"106";"110";"   1,76";"   1,77";"   1,78";"   3,12";"   2,67";"   3,12";"    4,90";"    5,81";"   5,38";"   2,25";"   1,35";"   2,71";"202210";"15/11/2022 05:40:45"
"UNIMED FRANCA - SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS E HOSPITALARES (354783)";"Médico Hospitalar";"Médio";"123";"117";"   1,39";"   1,63";"   1,51";"   1,40";"   1,06";"   0,83";"    0,84";"    1,91";"   2,05";"   2,06";"   0,98";"   0,98";"202210";"15/11/2022 05:40:45"
"UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO (336858)";"Médico Hospitalar";"Médio";"147";"204";"   0,98";"0,00";"   0,49";"   0,99";"   2,49";"   3,02";"    2,53";"    1,53";"   0,51";"   1,54";"   1,55";"   2,07";"202210";"15/11/2022 05:40:45"
"UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (352179)";"Médico Hospitalar";"Médio";"185";"185";"   0,41";"   0,41";"   0,83";"   0,42";"   0,42";"   0,42";"    0,42";"    0,85";"   0,85";"   1,28";"   0,86";"   0,86";"202210";"15/11/2022 05:40:45"
"UNIMED FRUTAL COOPERATIVA DE TRABALHO MEDICO LTDA (371564)";"Médico Hospitalar";"Pequeno";"148";"197";"   1,08";"0,00";"0,00";"0,00";"   1,11";"   1,13";"    1,16";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO (382876)";"Médico Hospitalar";"Grande";"27";"35";"   6,74";"   7,06";"   7,44";"   7,20";"   7,09";"   6,58";"    6,19";"    7,25";"   6,69";"   6,97";"   6,22";"   7,03";"202210";"15/11/2022 05:40:45"
"UNIMED GOVERNADOR VALADARES COOP. DE TRABALHO MÉDICO LTDA. (386588)";"Médico Hospitalar";"Médio";"81";"68";"   2,46";"   3,93";"   4,24";"   6,03";"   6,81";"   8,34";"    7,32";"    7,34";"   6,01";"   5,44";"   4,25";"   4,27";"202210";"15/11/2022 05:40:45"
"UNIMED GRANDE FLORIANÓPOLIS-COOPERATIVA DE TRABALHO MEDICO (360449)";"Médico Hospitalar";"Grande";"42";"40";"   4,56";"   6,40";"   6,74";"   8,36";"   8,48";"  11,35";"   11,24";"   11,40";"   9,06";"   8,97";"   9,80";"  11,47";"202210";"15/11/2022 05:40:45"
"UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO (322571)";"Médico Hospitalar";"Médio";"192";"196";"   0,31";"   0,31";"   0,32";"0,00";"0,00";"0,00";"    0,32";"    0,64";"   1,29";"   1,62";"   2,60";"   2,28";"202210";"15/11/2022 05:40:45"
"UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO (318035)";"Médico Hospitalar";"Médio";"98";"89";"   1,92";"   2,42";"   1,50";"   0,52";"0,00";"0,00";"0,00";"0,00";"   1,09";"   2,19";"   2,20";"   2,20";"202210";"15/11/2022 05:40:45"
"UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO (301124)";"Médico Hospitalar";"Pequeno";"77";"93";"   3,81";"   3,83";"   1,93";"   0,97";"   3,89";"   6,85";"    6,87";"    2,96";"   0,99";"   2,97";"   4,97";"   4,00";"202210";"15/11/2022 05:40:45"
"UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA. (304395)";"Médico Hospitalar";"Médio";"167";"138";"   0,50";"   1,51";"   2,03";"   2,05";"   0,51";"0,00";"0,00";"0,00";"   0,52";"   0,51";"   1,52";"   1,51";"202210";"15/11/2022 05:40:45"
"UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS (320838)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO (335517)";"Médico Hospitalar";"Médio";"177";"130";"   0,45";"   1,37";"   0,93";"   1,87";"   1,42";"   1,44";"    0,97";"    0,49";"   0,49";"   0,49";"   0,48";"   0,48";"202210";"15/11/2022 05:40:45"
"UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO (322831)";"Médico Hospitalar";"Médio";"179";"180";"   0,42";"   0,42";"   0,42";"0,00";"   0,42";"   0,84";"    0,84";"    0,42";"0,00";"   0,84";"   1,25";"   1,67";"202210";"15/11/2022 05:40:45"
"UNIMED ITAÚNA COOPERATIVA DE TRABALHO MÉDICO LTDA. (356581)";"Médico Hospitalar";"Médio";"182";"159";"   0,41";"   0,83";"   1,27";"   1,74";"   0,89";"   0,90";"    0,45";"    0,45";"   0,45";"   1,37";"   2,75";"   2,32";"202210";"15/11/2022 05:40:45"
